//ID	Name		Zen	Level	MapID	MapX1	MapY1	MapX2	MapY2	VIP	Reset
1	"Stadium"	2000	50	6	73	160	73	156	0	0
2	"Lorencia"	2000	10	0	133	118	151	135	0	0
3	"Noria"		2000	25	3	171	108	177	117	0	0		
4	"Devias"	2000	50	2	197	35	218	50	0	0
5	"Devias2"	2500	55	2	23	27	27	24	0	0
6	"Devias3"	3000	60	2	224	231	227	227	0	0
7	"Devias4"	3500	65	2	69	181	72	178	0	0
8	"Dungeon"	3000	50	1	107	247	110	247	0	0
9	"Dungeon2"	3500	60	1	231	126	234	127	0	0
10	"Dungeon3"	4000	70	1	3	83	4	86	0	0
11	"Atlans"        4000	70	7	14	11	27	23	0	0
12	"Atlans2"       4500	80	7	225	53	228	50	0	0
13	"Atlans3"       5000	90	7	62	163	68	157	0	0
14	"LostTower"	5000	90	4	203	70	213	81	0	0
15	"LostTower2"	5500	90	4	241	237	244	238	0	0
16	"LostTower3"	6000	100	4	86	166	87	168	0	0
17	"LostTower4"	6500	110	4	87	86	88	89	0	0
18	"LostTower5"	7000	110	4	128	53	131	54	0	0
19	"LostTower6"	7500	110	4	52	53	55	54	0	0
20	"LostTower7"	8000	120	4	8	85	9	87	0	0
21	"Tarkan"	8000	140	8	187	54	203	69	0	0
22	"Tarkan2"	8500	160	8	96	143	100	146	0	0
23	"Icarus"	9000	170	10	14	13	16	13	0	0
