////////////////////////////////////////////////////////////////////////////////																																				
//	[ Text  Version ]	1.2.0.1																																		
//	[ 최종 작업자 ]	홍승욱																																		
//	[ 최종 작업일 ]	2011-03-08 2:37 PM																																		
//	[ 작 업 내 용 ]	파워슬래쉬 무기 스킬 구분 오류 수정 및 소울 바리어 강화 마나 사용량 오류 수정																																		
////////////////////////////////////////////////////////////////////////////////																																				
//속성1 [-1(없음). 0(얼음). 1(독). 2(번개). 3(불). 4(땅). 5(바람). 6(물)]																																				
//속성2 [-1(없음). 0(물리). 1(마법)]																																				
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																				
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브)]																																				
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																				
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입	무기 스킬	데미지 구분
1	"포이즌"	30	12	42	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2	"운석"	21	21	12	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	"번개"	13	17	15	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"파이어볼"	5	8	3	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"불기둥"	35	25	50	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	"순간이동"	17	0	30	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	"얼음"	25	10	38	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
8	"회오리"	40	35	60	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	"악령"	50	45	90	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	"헬파이어"	60	120	160	0	0	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
